community,sv,count,fract
wgs__ERR2213661,sv-2022:wgs__ERR2213661,4583,0.04194274627521324
wgs__ERR2213661,sv-2033:wgs__ERR2213661,4559,0.04172310282973972
wgs__ERR2213661,sv-2280:wgs__ERR2213661,4151,0.037989164256689974
wgs__ERR2213661,sv-2286:wgs__ERR2213661,4140,0.03788849434418128
wgs__ERR2213661,sv-2468:wgs__ERR2213661,3888,0.03558223816670938
wgs__ERR2213661,sv-2505:wgs__ERR2213661,3841,0.035152103085990406
wgs__ERR2213661,sv-3623:wgs__ERR2213661,2884,0.02639382069773401
wgs__ERR2213661,sv-4061:wgs__ERR2213661,2655,0.02429805615550756
wgs__ERR2213661,sv-4207:wgs__ERR2213661,2595,0.023748947541823773
wgs__ERR2213661,sv-4283:wgs__ERR2213661,2561,0.023437785994069628
wgs__ERR2213661,sv-5565:wgs__ERR2213661,1028,0.009408060914448879
wgs__ERR2213661,sv-5753:wgs__ERR2213661,2093,0.01915473880733609
wgs__ERR2213661,sv-6713:wgs__ERR2213661,1869,0.017104733316249954
wgs__ERR2213661,sv-6996:wgs__ERR2213661,1024,0.009371453673536626
wgs__ERR2213661,sv-7718:wgs__ERR2213661,1657,0.015164549547900575
wgs__ERR2213661,sv-7906:wgs__ERR2213661,1620,0.01482593256946224
wgs__ERR2213661,sv-8185:wgs__ERR2213661,1568,0.014350038437602958
wgs__ERR2213661,sv-8427:wgs__ERR2213661,1521,0.013919903356883992
wgs__ERR2213661,sv-8469:wgs__ERR2213661,1514,0.01385584068528755
wgs__ERR2213661,sv-8841:wgs__ERR2213661,1445,0.013224365779551195
wgs__ERR2213661,sv-9062:wgs__ERR2213661,1407,0.012876596990884797
wgs__ERR2213661,sv-9117:wgs__ERR2213661,1399,0.012803382509060292
wgs__ERR2213661,sv-9640:wgs__ERR2213661,1308,0.011970567778306549
wgs__ERR2213661,sv-9905:wgs__ERR2213661,1263,0.01155873631804371
wgs__ERR2213661,sv-10250:wgs__ERR2213661,1209,0.011064538565728302
wgs__ERR2213661,sv-10290:wgs__ERR2213661,1202,0.01100047589413186
wgs__ERR2213661,sv-10313:wgs__ERR2213661,1198,0.010963868653219607
wgs__ERR2213661,sv-10457:wgs__ERR2213661,1175,0.010753377017974155
wgs__ERR2213661,sv-10824:wgs__ERR2213661,1116,0.010213420214518432
wgs__ERR2213661,sv-11202:wgs__ERR2213661,1059,0.009691767031518835
wgs__ERR2213661,sv-11212:wgs__ERR2213661,1058,0.00968261522129077
wgs__ERR2213661,sv-11397:wgs__ERR2213661,1028,0.009408060914448879
wgs__ERR2213661,sv-11423:wgs__ERR2213661,1024,0.009371453673536626
wgs__ERR2213661,sv-11493:wgs__ERR2213661,1009,0.009234176520115678
